gene,is_cgc
A1CF,in_cgc
ABI1,in_cgc
ABL1,in_cgc
ABL2,in_cgc
ACKR3,in_cgc
ACSL3,in_cgc
ACSL6,in_cgc
ACVR1,in_cgc
ACVR1B,in_cgc
ACVR2A,in_cgc
AFDN,in_cgc
AFF1,in_cgc
AFF3,in_cgc
AFF4,in_cgc
AKAP9,in_cgc
AKT1,in_cgc
AKT2,in_cgc
AKT3,in_cgc
ALDH2,in_cgc
ALK,in_cgc
AMER1,in_cgc
ANK1,in_cgc
APC,in_cgc
APOBEC3B,in_cgc
AR,in_cgc
ARAF,in_cgc
ARHGAP26,in_cgc
ARHGAP35,in_cgc
ARHGAP5,in_cgc
ARHGEF10,in_cgc
ARHGEF10L,in_cgc
ARHGEF12,in_cgc
ARID1A,in_cgc
ARID1B,in_cgc
ARID2,in_cgc
ARNT,in_cgc
ASPSCR1,in_cgc
ASXL1,in_cgc
ASXL2,in_cgc
ATF1,in_cgc
ATIC,in_cgc
ATM,in_cgc
ATP1A1,in_cgc
ATP2B3,in_cgc
ATR,in_cgc
ATRX,in_cgc
AXIN1,in_cgc
AXIN2,in_cgc
B2M,in_cgc
BAP1,in_cgc
BARD1,in_cgc
BAX,in_cgc
BAZ1A,in_cgc
BCL10,in_cgc
BCL11A,in_cgc
BCL11B,in_cgc
BCL2,in_cgc
BCL2L12,in_cgc
BCL3,in_cgc
BCL6,in_cgc
BCL7A,in_cgc
BCL9,in_cgc
BCL9L,in_cgc
BCLAF1,in_cgc
BCOR,in_cgc
BCORL1,in_cgc
BCR,in_cgc
BIRC3,in_cgc
BIRC6,in_cgc
BLM,in_cgc
BMP5,in_cgc
BMPR1A,in_cgc
BRAF,in_cgc
BRCA1,in_cgc
BRCA2,in_cgc
BRD3,in_cgc
BRD4,in_cgc
BRIP1,in_cgc
BTG1,in_cgc
BTG2,in_cgc
BTK,in_cgc
BUB1B,in_cgc
C15orf65,in_cgc
CACNA1D,in_cgc
CALR,in_cgc
CAMTA1,in_cgc
CANT1,in_cgc
CARD11,in_cgc
CARS,in_cgc
CASP3,in_cgc
CASP8,in_cgc
CASP9,in_cgc
CBFA2T3,in_cgc
CBFB,in_cgc
CBL,in_cgc
CBLB,in_cgc
CBLC,in_cgc
