"method","gene","func","median_tval","median_df","pval","pval_sd","num_signif","num_mutations","num_mutated_samples","number_synonymous_filtered","num_muts_greater_than_7_depth","proportion_greater_than_7_depth","num_samples_w_more_than_required","num_samples_sampling_from_mutated_samples","num_samples_sampling_from_global_synon","num_samples_sampling_from_mut_type_within_patient","num_samples_sampling_incomplete","sampling_func","is_cgc"
"non_weighted_RVdriver","APAF1","all_mutation_types",-0.438857316929719,NA,0.496356225792197,0.288909543234586,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","APAF1","all_mutation_types",-0.481180064664164,NA,0.513263347369085,0.282807234595359,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","ARHGEF25","Missense_Mutation",0.923190341968947,NA,0.182305405000488,0.193148592357236,3,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","ARHGEF25","Missense_Mutation",0.929344412541582,NA,0.180240284611242,0.187813837915065,3,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","ARID1A","Missense_Mutation",2.5125624279907,NA,0.071208881341564,0.196170869198042,8,2,2,1,2,1,2,0,0,0,0,"expo",TRUE
"non_weighted_RVdriver","ARID1A","all_mutation_types",0.796643923755519,NA,0.140123449056277,0.128810038780186,4,4,4,2,2,0.5,4,0,0,0,0,"expo",TRUE
"weighted_RVdriver","ARID1A","Missense_Mutation",2.50839016468548,NA,0.0673298516488458,0.182586353865108,9,2,2,1,2,1,2,0,0,0,0,"expo",TRUE
"weighted_RVdriver","ARID1A","all_mutation_types",1.03195887383385,NA,0.0922095250223059,0.0937850274327822,8,4,4,2,2,0.5,4,0,0,0,0,"expo",TRUE
"non_weighted_RVdriver","BZRAP1","Missense_Mutation",1.54180882309231,NA,0.0744906267728709,0.0936038555497419,9,3,3,2,2,0.666666666666667,3,0,0,0,0,"expo",FALSE
"weighted_RVdriver","BZRAP1","Missense_Mutation",1.44542277599863,NA,0.0781800721884598,0.0784909247405221,7,3,3,2,2,0.666666666666667,3,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","CDK11A","Missense_Mutation",-1.81903572121633,NA,0.686495952290173,0.268436978270651,0,3,2,1,3,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","CDK11A","Missense_Mutation",-1.5734118617195,NA,0.721196450710494,0.233374135896695,0,3,2,1,3,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","CHD4","Missense_Mutation",2.2743938948584,NA,0.01288499474578,0.00567683276020968,25,8,8,5,8,1,5,3,0,0,0,"expo",TRUE
"non_weighted_RVdriver","CHD4","all_mutation_types",1.58052409427982,NA,0.0578714052920376,0.0194931848400205,7,9,8,5,8,0.888888888888889,5,3,0,0,0,"expo",TRUE
"weighted_RVdriver","CHD4","Missense_Mutation",2.40854149243879,NA,0.0104315015006387,0.00484340571639055,25,8,8,5,8,1,5,3,0,0,0,"expo",TRUE
"weighted_RVdriver","CHD4","all_mutation_types",2.29633207784268,NA,0.0136126651786214,0.00617030565968163,25,9,8,5,8,0.888888888888889,5,3,0,0,0,"expo",TRUE
"non_weighted_RVdriver","CLASP2","Missense_Mutation",-0.0977422777302751,NA,0.604226087017694,0.206037870439586,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","CLASP2","Missense_Mutation",-0.131565056811268,NA,0.602196672588403,0.200196045592264,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","CLIP2","Missense_Mutation",-0.628092777538414,NA,0.66860636530353,0.100219080672734,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","CLIP2","Missense_Mutation",-0.834121926456353,NA,0.735328864913082,0.0753026767026405,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","COL11A1","Missense_Mutation",-1.56984666897707,NA,0.819299253096379,0.151343677725405,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","COL11A1","all_mutation_types",-2.36853603572931,NA,0.958178266724229,0.0353655813585246,0,3,3,2,2,0.666666666666667,3,0,0,0,0,"expo",FALSE
"weighted_RVdriver","COL11A1","Missense_Mutation",-1.45732339782271,NA,0.793607079527021,0.166595394704656,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","COL11A1","all_mutation_types",-1.74476331583807,NA,0.904518708567222,0.0717678646302214,0,3,3,2,2,0.666666666666667,3,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","COL7A1","Missense_Mutation",-0.181056535666868,NA,0.561260282716118,0.168676760926237,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","COL7A1","Missense_Mutation",-0.00623854230544817,NA,0.546036709935789,0.181624487399537,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","COPB1","Missense_Mutation",0.211254251414043,NA,0.392579879636234,0.119867464590476,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","COPB1","Missense_Mutation",0.243571378374648,NA,0.399896139728305,0.112459088436958,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","CPSF3L","Missense_Mutation",-0.841783655731652,NA,0.643569766973703,0.176477010229454,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","CPSF3L","Missense_Mutation",-0.897724692962146,NA,0.610509414876819,0.20021010336136,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","CREBBP","Missense_Mutation",0.373196108331831,NA,0.342448557330017,0.108358932255653,0,2,2,1,2,1,2,0,0,0,0,"expo",TRUE
"weighted_RVdriver","CREBBP","Missense_Mutation",0.272660609629102,NA,0.355626223192355,0.107847546632773,0,2,2,1,2,1,2,0,0,0,0,"expo",TRUE
"non_weighted_RVdriver","DYNC1H1","Missense_Mutation",0.891108695666012,NA,0.177872248433715,0.267628705489114,6,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","DYNC1H1","Missense_Mutation",0.705594370637135,NA,0.197092828104295,0.278392722277679,5,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","EPB41L2","Missense_Mutation",0.500089797506684,NA,0.317039119133291,0.128606953118275,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","EPB41L2","Missense_Mutation",0.40215394727348,NA,0.344343799239149,0.134732638966687,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","EPS15","Missense_Mutation",-2.03262123077463,NA,0.745658744591257,0.21103391291307,0,2,2,1,2,1,2,0,0,0,0,"expo",TRUE
"weighted_RVdriver","EPS15","Missense_Mutation",-2.10066493028025,NA,0.764646964282078,0.202659912056494,0,2,2,1,2,1,2,0,0,0,0,"expo",TRUE
"non_weighted_RVdriver","FBXW7","Missense_Mutation",1.18599079410276,NA,0.117850740404585,0.00377317192691128,0,21,20,40,9,0.428571428571429,0,0,6,2,12,"expo",TRUE
"non_weighted_RVdriver","FBXW7","all_mutation_types",0.843795133792797,NA,0.20083341937793,0.00786397717459627,0,22,21,42,9,0.409090909090909,0,0,5,3,13,"expo",TRUE
"weighted_RVdriver","FBXW7","Missense_Mutation",0.754067675849686,NA,0.225725660465978,0.00409441104497497,0,21,20,40,9,0.428571428571429,0,0,6,2,12,"expo",TRUE
"weighted_RVdriver","FBXW7","all_mutation_types",0.600216322613787,NA,0.275184417360421,0.00704303385506768,0,22,21,42,9,0.409090909090909,0,0,5,3,13,"expo",TRUE
"non_weighted_RVdriver","FLNA","Missense_Mutation",-1.96544016063159,NA,0.960613117024757,0.0189260141730158,0,4,4,2,3,0.75,4,0,0,0,0,"expo",TRUE
"weighted_RVdriver","FLNA","Missense_Mutation",-1.61316456059975,NA,0.934909654802153,0.0277911929340228,0,4,4,2,3,0.75,4,0,0,0,0,"expo",TRUE
"non_weighted_RVdriver","FNDC3A","Missense_Mutation",1.15721905236234,NA,0.190001439608346,0.0961115671518856,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","FNDC3A","Missense_Mutation",1.11806716631243,NA,0.196098257094644,0.0972917213192976,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","IGF2R","Missense_Mutation",-1.18362557573912,NA,0.822228616459535,0.107173551976034,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","IGF2R","Missense_Mutation",-1.23430637073711,NA,0.82611094217338,0.0988087937394966,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","KANSL3","Missense_Mutation",0.122328168087706,NA,0.426386367970158,0.140932737703923,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","KANSL3","Missense_Mutation",0.0109191638899409,NA,0.458842535174464,0.143897277814385,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","KIAA1217","Missense_Mutation",-0.569772118964356,NA,0.642128932951113,0.132298553343512,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","KIAA1217","Missense_Mutation",-0.527806069152288,NA,0.613795331729341,0.134090521848278,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","KRAS","Missense_Mutation",1.06104686666077,NA,0.148186350302401,9.27495934488645e-17,0,7,7,4,4,0.571428571428571,5,2,0,0,0,"expo",TRUE
"weighted_RVdriver","KRAS","Missense_Mutation",2.04837728240968,NA,0.0242731998965453,3.70435565972803e-17,25,7,7,4,4,0.571428571428571,5,2,0,0,0,"expo",TRUE
"non_weighted_RVdriver","MAN1B1","Missense_Mutation",-0.793386220409559,NA,0.60731794624581,0.261277512526911,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","MAN1B1","Missense_Mutation",-0.591798045896616,NA,0.593980796454061,0.267188754276259,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","MAP3K4","all_mutation_types",0.785182415085143,NA,0.166544309542614,0.201961543610498,3,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","MAP3K4","all_mutation_types",1.00362816293489,NA,0.150319992304701,0.208257933615438,3,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","MED12","Missense_Mutation",0.698212594563998,NA,0.226286669020583,0.0877844322887832,0,3,3,2,2,0.666666666666667,3,0,0,0,0,"expo",TRUE
"weighted_RVdriver","MED12","Missense_Mutation",0.536458816477943,NA,0.273950638690611,0.0867357743073732,0,3,3,2,2,0.666666666666667,3,0,0,0,0,"expo",TRUE
"non_weighted_RVdriver","MRPS7","Missense_Mutation",-1.37691746731711,NA,0.863643977527841,0.105412249464307,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","MRPS7","Missense_Mutation",-1.52708898643967,NA,0.873728177404861,0.0937083251955541,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","MTBP","all_mutation_types",1.41019220343421,NA,0.125005491990704,0.265844431546621,9,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","MTBP","all_mutation_types",1.23404621005865,NA,0.123488628187775,0.276172706236465,9,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","NCK1","Missense_Mutation",-1.0693396584189,NA,0.76546750487533,0.12524059205939,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","NCK1","Missense_Mutation",-1.39766462027836,NA,0.806065437779686,0.100985830891468,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","NF1","Missense_Mutation",-2.01781000766449,NA,0.844416046152288,0.148751298670214,0,2,2,1,2,1,2,0,0,0,0,"expo",TRUE
"non_weighted_RVdriver","NF1","all_mutation_types",-0.0915831050196989,NA,0.528022505669439,0.125667887201338,0,3,3,2,2,0.666666666666667,3,0,0,0,0,"expo",TRUE
"weighted_RVdriver","NF1","Missense_Mutation",-1.86735951041449,NA,0.84003182182221,0.144719276692358,0,2,2,1,2,1,2,0,0,0,0,"expo",TRUE
"weighted_RVdriver","NF1","all_mutation_types",-0.9913171456848,NA,0.81792322650142,0.0810820994646089,0,3,3,2,2,0.666666666666667,3,0,0,0,0,"expo",TRUE
"non_weighted_RVdriver","PDGFRB","Missense_Mutation",-0.481328445469843,NA,0.639049311500852,0.0977975687092159,0,3,3,2,2,0.666666666666667,2,1,0,0,0,"expo",TRUE
"weighted_RVdriver","PDGFRB","Missense_Mutation",-0.0443567145179667,NA,0.493623391523316,0.114371420595688,0,3,3,2,2,0.666666666666667,2,1,0,0,0,"expo",TRUE
"non_weighted_RVdriver","PEX14","Missense_Mutation",0.124072367771416,NA,0.275682323209071,0.232726104214661,1,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","PEX14","Missense_Mutation",0.222815286109758,NA,0.267242569024839,0.230090971161057,1,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","PIK3CA","Missense_Mutation",1.48604266471478,NA,0.0689257067881673,3.37958089724547e-16,0,20,19,38,11,0.55,0,0,7,0,12,"expo",TRUE
"weighted_RVdriver","PIK3CA","Missense_Mutation",2.35831717749474,NA,0.00935672041836224,6.78697858873168e-17,25,20,19,38,11,0.55,0,0,7,0,12,"expo",TRUE
"non_weighted_RVdriver","PLXNB2","Missense_Mutation",0.878584988604645,NA,0.237545855704105,0.0125421703995499,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","PLXNB2","Missense_Mutation",0.812708781925926,NA,0.249399032441343,0.0187262461105584,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","POLR2A","Missense_Mutation",0.522864182290024,NA,0.319735630464414,0.211594518862296,0,2,2,1,2,1,2,0,0,0,0,"expo",TRUE
"weighted_RVdriver","POLR2A","Missense_Mutation",0.658061740206012,NA,0.327716305369788,0.211571639832822,0,2,2,1,2,1,2,0,0,0,0,"expo",TRUE
"non_weighted_RVdriver","PPP2R1A","Missense_Mutation",1.19692373898267,NA,0.111957436422407,0.0145705715516264,0,16,15,21,16,1,1,0,14,0,0,"expo",TRUE
"weighted_RVdriver","PPP2R1A","Missense_Mutation",1.50141337630838,NA,0.0639801003393817,0.0102677508520017,2,16,15,21,16,1,1,0,14,0,0,"expo",TRUE
"non_weighted_RVdriver","PPP6R3","Missense_Mutation",0.0332732997348884,NA,0.333782392282452,0.331926850807304,2,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","PPP6R3","Missense_Mutation",0.155291715434236,NA,0.316509544463587,0.34868103704134,2,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","PRPF8","Missense_Mutation",0.784362981726116,NA,0.225834789881954,0.0467700487900524,0,3,3,2,2,0.666666666666667,3,0,0,0,0,"expo",FALSE
"weighted_RVdriver","PRPF8","Missense_Mutation",0.672250875497912,NA,0.256127278008977,0.0571534710262415,0,3,3,2,2,0.666666666666667,3,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","PRRC2A","Missense_Mutation",-0.281164842017641,NA,0.559932838739183,0.180832731854985,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","PRRC2A","Missense_Mutation",-0.182072451692056,NA,0.552273494691033,0.186540493680246,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","PTEN","Missense_Mutation",2.23046329781524,NA,0.0164481320729205,0.0316459947971788,19,4,4,2,4,1,4,0,0,0,0,"expo",TRUE
"non_weighted_RVdriver","PTEN","Nonsense_Mutation",0.42239751176113,NA,0.343414385973196,0.0772248293285441,0,3,3,2,2,0.666666666666667,3,0,0,0,0,"expo",TRUE
"non_weighted_RVdriver","PTEN","all_mutation_types",2.25576473342313,NA,0.0160690610270602,0.0105543791917359,24,7,7,4,6,0.857142857142857,6,1,0,0,0,"expo",TRUE
"weighted_RVdriver","PTEN","Missense_Mutation",2.50622076495708,NA,0.0113141935187666,0.0219774613958936,23,4,4,2,4,1,4,0,0,0,0,"expo",TRUE
"weighted_RVdriver","PTEN","Nonsense_Mutation",1.70664512606661,NA,0.0703594149025126,0.0214410794427392,2,3,3,2,2,0.666666666666667,3,0,0,0,0,"expo",TRUE
"weighted_RVdriver","PTEN","all_mutation_types",3.39362108576897,NA,0.0008902841462129,0.00106539595542517,25,7,7,4,6,0.857142857142857,6,1,0,0,0,"expo",TRUE
